# word	start_s	end_s	confidence	speaker
When	0.4	0.52	0.9995117	
you're	0.52	0.76	0.9947917	
constantly	0.76	1.28	1.0	
worried	1.28	1.6	1.0	
about	1.6	1.84	0.9326172	
not	2.0	2.32	1.0	
having	2.32	2.56	1.0	
enough,	2.56	2.88	0.91503906	
your	3.12	3.44	0.99853516	
brain	3.44	3.8	1.0	
focuses	3.8	4.24	1.0	
on	4.24	4.44	0.9243164	
immediate	4.44	5.0	0.91829425	
problems	5.0	5.52	1.0	
and	5.52	5.84	0.9941406	
can't	5.84	6.2	0.9998372	
think	6.2	6.4	1.0	
long	6.4	6.64	1.0	
term.	6.64	6.96	0.9995117	
